Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Al 1',      2073.33000,    0.000, -3.335, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2073.43100,    0.000, -4.786, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2073.46200,    0.000, -3.305, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2073.57100,    0.000, -4.756, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2073.60400,    0.000, -3.273, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2073.72100,    0.000, -4.724, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2073.75700,    0.000, -3.241, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2073.88400,    0.000, -4.692, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2073.92200,    0.000, -3.208, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.05900,    0.000, -4.659, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.10100,    0.000, -3.174, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.25000,    0.000, -4.625, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.29500,    0.000, -3.140, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.45700,    0.000, -4.591, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.50600,    0.000, -3.104, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
