Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Mg 1',      2513.05900,    2.712, -5.521, 3.650, 1.330,-5.200, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.07800,    2.712, -3.441, 4.030, 1.310,-5.210, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.07800,    2.712, -3.742, 4.030, 1.310,-5.210, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.08400,    2.709, -3.180, 4.470, 0.570,-5.440, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.09400,    2.712, -3.752, 4.030, 1.300,-5.210, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.09400,    2.712, -5.504, 3.670, 1.300,-5.210, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.11400,    2.712, -3.423, 4.050, 1.280,-5.220, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.11400,    2.712, -3.724, 4.050, 1.280,-5.220, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.13000,    2.709, -5.549, 4.100, 0.550,-5.450, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.13100,    2.712, -3.734, 4.050, 1.270,-5.220, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.13200,    2.712, -5.486, 3.680, 1.270,-5.220, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.15300,    2.712, -3.405, 4.060, 1.250,-5.230, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.15300,    2.712, -3.706, 4.060, 1.250,-5.230, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.17000,    2.712, -3.716, 4.060, 1.240,-5.230, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.17100,    2.712, -5.468, 3.700, 1.240,-5.230, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.18700,    2.709, -3.154, 4.500, 0.530,-5.460, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.19200,    2.712, -3.386, 4.080, 1.220,-5.240, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.19200,    2.712, -3.687, 4.080, 1.220,-5.240, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.21100,    2.712, -3.697, 4.080, 1.210,-5.240, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.21100,    2.712, -5.450, 3.720, 1.210,-5.240, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.23400,    2.712, -3.367, 4.100, 1.190,-5.250, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.23400,    2.712, -3.668, 4.100, 1.190,-5.250, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.23600,    2.709, -5.524, 4.130, 0.510,-5.460, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.25300,    2.712, -3.678, 4.100, 1.170,-5.250, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.25400,    2.712, -5.431, 3.740, 1.170,-5.250, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.27800,    2.712, -3.348, 4.120, 1.160,-5.260, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.27800,    2.712, -3.649, 4.120, 1.160,-5.260, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.29600,    2.709, -3.128, 4.520, 0.490,-5.470, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.29700,    2.712, -3.659, 4.120, 1.140,-5.260, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.29800,    2.712, -5.413, 3.760, 1.140,-5.260, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.32300,    2.712, -3.329, 4.140, 1.120,-5.270, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.32300,    2.712, -3.630, 4.140, 1.120,-5.270, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.34400,    2.712, -3.640, 4.140, 1.110,-5.270, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.34500,    2.712, -5.394, 3.780, 1.110,-5.270, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.34800,    2.709, -5.498, 4.150, 0.470,-5.480, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.37100,    2.712, -3.309, 4.160, 1.090,-5.280, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.37100,    2.712, -3.610, 4.160, 1.090,-5.280, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.39200,    2.712, -3.620, 4.160, 1.080,-5.280, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.39300,    2.712, -5.374, 3.800, 1.080,-5.280, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.41100,    2.709, -3.102, 4.550, 0.440,-5.490, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.42000,    2.712, -3.290, 4.180, 1.060,-5.290, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.42000,    2.712, -3.591, 4.180, 1.060,-5.290, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
