Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'O 1',       4054.83000,   12.359, -3.174, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4066.70000,   12.359, -3.146, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4066.71000,   12.359, -4.320, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4066.75000,   12.359, -3.021, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4067.74000,   12.359, -2.666, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4067.75000,   12.359, -3.140, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4069.51000,   12.359, -2.389, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4217.08800,   12.359, -2.838, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4222.75700,   12.359, -2.962, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4222.77100,   12.359, -2.741, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4222.81800,   12.359, -2.838, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4233.26000,   12.359, -2.741, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4233.27400,   12.359, -2.265, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4368.19300,    9.521, -2.665, 0.000, 0.000,-7.946, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
'O 1',       4368.24200,    9.521, -1.964, 0.000, 0.000,-7.946, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
