Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Ca 1',      2143.23441,    1.899, -4.583, 6.610,-2.400,-6.530,  0.670,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2143.47340,    1.899, -6.194, 6.660,-2.350,-6.530,  1.120,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2143.54235,    1.899, -5.221, 5.230,-2.800,-6.580,  1.650,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2145.07416,    1.899, -4.585, 5.820,-2.610,-6.580,  1.330,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2145.11099,    1.899, -3.628, 5.290,-2.580,-6.590,  0.900,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2145.22875,    1.879, -4.937, 6.340,-2.650,-6.600,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2145.48854,    1.899, -5.267, 5.640,-2.560,-6.580,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2145.51248,    1.886, -5.833, 6.320,-2.750,-6.590,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2145.51709,    1.886, -4.464, 6.520,-2.560,-6.600,  1.090,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2145.61841,    1.886, -4.188, 6.460,-2.420,-6.600,  1.000,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2146.10211,    1.886, -5.542, 6.480,-2.520,-6.600,  0.950,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2146.30856,    1.899, -5.380, 5.280,-2.670,-6.580,  1.850,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2146.45143,    1.899, -3.830, 5.980,-2.520,-6.580,  0.660,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2146.58317,    1.879, -1.884, 7.440,-3.500,-7.150,  0.530,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2146.88479,    1.899, -4.968, 5.310,-2.640,-6.580,  0.100,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2147.21776,    1.886, -3.823, 6.520,-2.610,-6.600,  1.050,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2147.63297,    1.886, -4.851, 6.340,-2.650,-6.600,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2147.73356,    1.899, -4.194, 6.550,-2.560,-6.600,  1.280,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2147.89140,    1.886, -5.721, 6.780,-2.560,-6.610,  0.320,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2148.20243,    1.879, -4.297, 5.410,-2.470,-6.660,  1.210,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
